26,26B,1
11,250,18
15,11D,1
14,23C,6
33,23C,11
52,11D,6
33,520,1
51,23C,2
22,23F,7
72,250,2
44,220,5
62,120,1
43,13A,214
26,520,1
28,35B,1
26,23H,20
71,23F,2
42,240,2
52,23H,21
81,26C,2
32,09B,1
13,26C,12
61,13A,2
33,23G,1
27,290,12
32,11A,4
41,13B,1334
14,13B,160
44,290,20
13,250,5
15,520,2
26,13C,27
14,26A,3
26,23D,4
15,23H,9
45,220,5
32,26C,1
23,290,93
13,13C,76
33,35B,3
71,290,10
28,23C,2
15,26E,2
45,290,17
21,210,3
43,23F,1
24,520,3
52,120,4
21,35B,1
23,26C,3
14,23D,1
45,13C,27
11,23G,9
43,520,1
62,11A,4
27,240,1
71,13C,29
51,13A,13
13,11D,3
23,13C,11
44,200,1
25,100,2
52,11A,1
45,11B,1
72,220,9
15,290,298
25,23F,1
32,23C,7
43,35A,1
42,23H,9
51,290,17
44,13B,23
21,13B,309
23,23H,10
62,290,6
11,11D,10
25,13B,39
33,120,20
82,23H,3
14,23F,1
11,36A,1
15,200,3
25,290,331
22,13B,22
71,09A,1
12,23D,12
12,120,91
15,13B,72
26,23F,3
12,23E,1
33,240,4
84,290,2
24,290,230
13,23G,4
25,23C,3
51,23D,1
24,26E,1
41,23G,2
24,11A,1
32,100,1
27,23H,4
81,290,11
85,23F,1
71,220,3
85,13C,1
41,100,1
26,200,5
72,23C,3
15,23F,1
72,240,2
12,13C,3100
12,240,9
81,13A,3
13,100,1
44,11B,2
22,120,1
13,35A,15
21,26A,1
43,23D,5
52,290,40
13,220,49
41,200,11
41,11B,4
43,290,350
11,23F,68
11,23D,45
44,40C,1
52,26C,1
62,370,1
43,13C,309
25,200,20
26,13B,24
43,240,2
43,220,19
29,290,1
82,13C,1
72,26A,2
21,250,1
27,13C,2
33,11A,1
33,13B,397
27,220,3
25,120,2
14,11D,1
14,270,1
42,280,1
52,23G,1
16,13B,2
33,11D,7
25,09A,1
26,26A,3
51,13C,32
61,290,1
31,290,10
45,100,1
12,23C,11
14,240,4
11,200,11
42,120,15
44,23H,5
52,35B,2
43,35B,1
33,26B,1
45,11A,1
51,11A,1
52,26B,2
72,120,2
24,13A,69
13,35B,8
42,100,1
32,26B,2
24,120,10
23,26A,1
25,23G,1
21,270,1
43,23C,2
12,270,1
14,13C,187
52,40B,2
33,13C,433
41,370,1
12,370,1
52,35A,12
22,520,2
27,23C,1
33,23F,7
23,23G,1
81,23C,4
22,290,186
22,23D,2
27,35A,3
24,100,1
25,35B,2
13,23C,14
81,23F,2
25,11A,1
45,26C,3
11,11A,11
25,270,1
71,120,11
25,26B,2
52,23F,3
52,13C,44
15,240,1
21,280,1
33,36B,1
25,220,23
15,13A,28
12,26B,5
71,23D,3
41,23D,1
12,23H,56
21,23D,2
21,11B,1
11,35B,26
23,35A,3
84,13A,1
11,240,27
41,11D,3
51,35B,2
26,23G,2
25,13A,13
32,26A,1
62,35A,3
72,13A,11
11,120,118
43,23H,15
33,35A,9
72,26B,1
23,23F,7
51,11D,1
41,240,2
26,11D,1
25,35A,2
52,13A,30
51,23H,8
12,23G,2
72,290,8
44,23G,2
33,290,382
32,240,4
24,220,10
12,13A,1111
22,11D,1
71,11C,1
28,220,1
32,35B,2
61,240,1
41,13C,792
23,26B,1
52,220,17
14,220,45
13,23F,30
62,13B,17
16,13A,2
32,23G,3
22,35A,5
13,270,4
12,290,2699
43,270,1
