43,MT,7
32,NB,10
13,NJ,4
23,OR,2
25,SD,3
21,IN,10
14,NJ,41
23,NY,7
24,RI,4
13,CA,11
24,KS,7
12,LA,19
52,OR,6
51,KY,5
12,VA,274
22,MN,5
24,ND,4
44,TX,1
42,WV,4
21,NB,6
14,AZ,20
11,ID,9
25,MD,1
33,CT,46
42,VA,12
84,MA,4
13,MO,6
83,CA,1
72,SD,1
11,CT,65
14,ID,3
21,MI,75
25,RI,4
51,SC,1
42,DE,2
52,FL,3
24,FL,12
33,GA,3
15,IN,8
45,OR,2
26,KS,1
25,AZ,25
11,LA,11
52,MO,3
12,OR,109
82,DE,2
12,DC,44
52,KY,18
32,DC,8
16,MA,1
15,CT,11
13,WI,15
27,UT,1
82,NY,3
22,GA,1
25,MT,3
44,OH,17
45,MN,8
45,CO,6
14,KY,17
25,MN,7
42,NV,11
22,UT,4
14,MO,7
52,NY,3
42,WY,1
23,ID,1
12,CT,209
21,NC,30
24,NV,4
33,SD,2
32,AZ,116
15,NC,27
11,TN,181
43,TN,69
11,NH,3
31,OR,1
25,DC,1
43,NH,5
62,TX,2
11,FL,73
24,WI,2
33,MI,83
52,TX,4
16,WA,1
42,IA,1
13,UT,26
21,AL,3
41,NB,19
14,NM,3
15,LA,3
82,MN,1
11,DC,31
11,NB,13
51,WI,3
51,CA,9
45,NY,2
42,UT,5
45,UT,5
15,CO,17
51,CT,2
44,AL,1
27,KY,1
22,ID,6
22,MI,14
52,UT,6
15,VT,2
13,AL,2
21,DE,2
42,OH,37
25,NH,3
15,RI,1
14,DC,5
15,FL,7
15,MO,8
51,GA,2
31,NC,2
25,IN,3
24,MI,72
32,NC,42
11,NJ,79
21,SC,7
11,NC,71
21,ND,3
42,OK,3
11,AZ,73
32,IL,29
32,MO,17
32,UT,27
22,ND,4
42,PA,1
11,IA,3
42,MD,4
24,SD,2
12,WI,74
42,CA,132
26,NV,7
43,LA,3
61,WA,10
52,IA,2
13,AZ,15
21,MD,35
72,NY,12
52,IN,1
25,ME,1
51,DC,2
22,LA,1
21,NV,23
25,OR,10
43,RI,4
43,TX,41
24,GA,1
44,NY,1
14,KS,7
51,MA,13
44,MI,5
25,MO,11
23,MT,1
81,NY,1
12,AZ,365
15,GA,4
42,KY,21
33,NM,1
24,KY,21
11,VT,8
23,AR,1
61,MA,6
15,IL,8
14,IN,7
14,MI,61
12,RI,10
15,VA,21
42,NB,4
23,RI,1
43,CA,403
32,MS,14
12,NJ,764
21,RI,1
25,ND,2
41,FL,11
43,IL,13
21,MA,238
45,ME,1
15,UT,5
32,AR,8
23,CT,2
12,KS,143
13,NC,2
15,WV,2
26,MN,2
43,ND,14
22,FL,4
24,ID,4
22,MA,15
25,MA,19
43,WV,3
22,CA,36
41,VA,63
44,IN,1
71,NB,1
11,VA,65
15,MA,2
13,CT,4
71,TX,7
12,CA,1358
21,NH,13
43,SD,8
11,SD,17
43,MN,8
23,TN,6
13,MA,3
22,CT,11
14,TX,22
25,GA,1
32,MN,21
21,NY,1211
27,VA,1
45,LA,1
16,MO,1
33,WV,1
26,AZ,20
15,OR,10
33,AR,2
33,CO,33
24,SC,5
31,AK,1
22,SD,1
12,AL,48
42,DC,19
26,ID,2
44,UT,1
25,IL,2
15,OH,34
41,NH,10
52,VA,4
62,MO,2
51,AZ,4
12,CO,183
11,MO,70
12,MT,23
24,NH,4
21,OH,50
51,OK,3
12,SC,128
12,TX,235
14,UT,6
32,VA,27
43,WA,100
33,IA,3
22,RI,5
28,MO,1
85,TN,1
51,IL,1
72,WA,3
24,TN,22
26,VA,11
32,GA,10
45,FL,1
52,MI,22
13,WV,3
62,TN,1
45,WV,2
13,KS,2
32,KY,59
25,NV,2
44,SC,2
41,VT,3
31,IL,4
31,OH,2
71,MT,1
27,CA,2
25,FL,4
33,ND,20
22,OH,7
33,LA,3
51,KS,2
32,MD,12
12,MN,210
32,OR,43
41,OK,17
31,KY,1
45,NB,2
24,NY,129
21,WI,11
23,KY,4
41,DE,6
44,ME,1
22,MD,4
22,NB,2
15,MD,2
41,ME,53
23,MI,15
41,ND,8
22,NJ,22
26,WI,1
43,NB,5
21,WV,5
28,CA,1
22,TX,7
15,WA,45
31,DC,2
43,MO,38
15,TN,21
21,VT,2
14,NB,7
24,NM,4
26,LA,9
42,ND,1
14,CO,11
12,GA,77
12,UT,50
45,WA,5
24,MD,2
44,WV,3
43,AZ,15
52,CA,9
21,CO,40
42,ID,2
21,NM,5
33,OR,14
52,AL,2
42,AZ,30
14,GA,5
41,MD,20
51,CO,7
52,VT,4
42,MA,66
25,NJ,25
14,NY,44
43,OR,18
42,NH,2
11,OH,255
24,IA,3
32,SD,6
23,TX,8
13,NM,5
44,GA,1
42,GA,1
21,CA,472
42,MI,29
52,MT,8
44,IL,1
31,MA,9
12,ID,48
43,NY,32
33,NY,92
41,OR,43
24,PA,11
52,TN,40
32,WI,19
16,CA,1
26,ND,2
26,OK,1
12,MO,209
22,VA,6
41,IA,6
33,NJ,104
42,KS,3
14,MN,16
22,TN,1
52,AR,12
13,WA,116
25,CO,13
23,FL,9
21,ID,7
21,KY,19
42,WA,31
24,AK,2
41,IL,75
11,MA,149
41,MT,6
32,ND,16
14,MD,4
21,ME,19
15,MT,5
43,DE,2
11,NY,86
44,WA,5
15,NV,3
44,OR,2
51,ID,2
25,WV,1
23,CO,14
14,OH,24
42,SC,5
32,TN,47
14,VA,19
25,KY,10
32,MA,90
32,NJ,85
22,NY,91
41,RI,15
11,TX,64
41,NM,12
27,LA,1
24,ME,12
12,NV,102
32,OK,16
24,OR,2
41,SD,8
24,VT,1
23,MN,1
52,AZ,8
11,RI,4
11,GA,19
21,SD,3
24,UT,8
43,AL,2
25,VT,2
31,WA,3
12,NH,44
44,CT,9
14,AK,1
12,IA,19
22,KY,4
42,NJ,44
52,WI,9
26,AR,1
12,FL,154
11,IN,30
23,OH,15
15,IA,2
26,AL,4
33,IL,16
44,NC,3
12,ND,41
27,MT,2
14,OK,4
25,CT,15
32,ID,19
15,ND,1
71,CA,52
32,IA,1
32,DE,4
15,KY,29
43,NC,20
11,NM,2
