13C,53,260
370,52,1
13A,18,255
13C,54,4
23H,2,5
11B,10,1
13C,24,85
23B,23,1
13B,10,50
13A,52,17
13C,57,9
26B,7,4
23D,39,1
11A,5,1
510,18,1
11A,25,6
23H,21,8
120,9,2
23D,53,4
13A,42,1
09A,13,5
09A,14,1
40B,14,1
40C,18,1
35B,18,1
520,50,1
13B,3,293
120,3,7
26B,14,2
23H,6,4
220,6,5
23C,7,9
26B,21,1
09A,22,1
23H,8,21
26B,25,3
26C,5,1
200,20,57
520,20,10
35A,23,4
35B,22,1
13B,57,1
120,1,11
35A,53,4
23D,7,3
35A,18,8
11A,50,1
290,9,66
13B,8,63
520,22,3
13B,53,241
520,3,2
11B,50,1
120,11,1
520,11,1
220,19,7
23H,13,53
13B,12,69
23H,10,3
210,9,1
270,2,1
23E,14,1
11D,50,1
290,37,8
120,17,3
220,20,442
13B,1,151
280,25,2
220,2,1
13C,21,215
23D,12,5
120,8,4
23F,42,1
290,47,1
13C,8,69
250,9,1
280,7,1
26A,9,1
26A,18,1
13C,1,79
120,20,71
220,12,4
26B,9,1
290,23,18
290,14,33
26B,20,19
290,20,2975
35A,21,6
100,25,2
240,11,1
270,9,2
35A,20,99
23H,20,252
220,24,9
23F,13,32
09A,1,1
26A,8,3
11D,44,1
270,24,1
26B,52,1
23H,3,3
120,14,4
220,10,2
11D,15,2
13B,20,1561
220,50,1
09A,7,1
250,23,4
23D,52,1
240,1,1
220,4,53
35A,7,4
270,5,3
23H,48,1
35A,55,1
23D,20,75
240,41,1
23H,53,13
13C,51,3
23C,23,5
26B,2,1
240,5,1
26B,5,1
120,13,338
200,12,3
13A,48,2
26C,23,1
26B,23,1
