13B,52,NC,3
290,13,WV,4
13B,53,IN,1
290,11,AZ,6
13B,22,IL,6
13A,20,IN,14
290,13,NV,11
13C,20,OR,22
13B,25,TX,14
13A,18,VA,8
13A,20,VA,6
13A,7,CT,1
290,21,CT,3
13C,12,FL,1
13B,14,OH,5
23H,53,OH,1
26A,20,VA,3
23H,13,IL,1
35B,13,ND,2
290,6,SC,1
270,7,WV,1
290,18,AK,2
13B,53,CA,43
13A,13,KS,10
13B,22,NC,9
23H,20,NY,24
23F,11,SC,1
220,20,WI,4
13B,15,WI,3
290,14,CT,1
120,13,IN,3
13B,15,NC,7
13C,25,IN,4
290,5,MD,3
210,9,MI,1
23F,25,KY,1
23H,18,CT,1
240,18,KS,1
250,23,UT,1
13B,21,AZ,7
13B,21,DC,7
13C,20,GA,44
13C,17,KS,1
13B,11,MA,7
290,2,MN,2
200,25,NV,1
23G,13,OR,1
23D,20,TN,7
35A,21,TN,2
35B,15,TN,1
23H,20,WI,3
23H,7,CT,1
200,13,NJ,1
290,50,OR,1
290,21,VA,3
13B,4,NB,1
23D,25,ND,1
23H,6,OH,2
13A,16,TN,1
290,22,KS,9
13B,20,KY,54
13B,25,MI,8
13A,7,NV,1
13B,13,TX,53
240,25,WA,1
220,25,WA,4
13A,5,ND,1
200,18,PA,1
280,1,WA,1
23C,7,OH,4
13B,11,OR,2
13B,21,ND,1
290,14,CO,1
13B,22,GA,7
290,22,IA,4
13B,14,MO,1
220,14,MT,1
13B,18,TN,25
13C,8,AZ,2
13A,25,KY,1
13B,8,MN,3
13A,18,MO,3
240,13,OH,4
13C,21,SC,2
13C,11,TX,2
13B,21,WA,8
23G,13,ID,1
13B,50,TN,2
290,11,WV,1
290,14,OR,1
13A,12,CA,9
290,23,CA,3
13C,53,CO,12
13A,21,IL,5
290,13,MO,16
120,20,SC,2
220,21,SC,1
13C,4,VA,3
290,4,MN,10
13A,7,OR,2
240,20,UT,1
13B,18,LA,3
290,25,OK,3
23D,5,SC,1
13B,21,CO,1
23H,14,KS,1
23H,48,MT,1
520,8,WI,1
290,11,AL,1
120,52,CA,1
120,12,KY,1
13B,9,NV,2
290,9,VT,1
13C,25,AZ,28
13A,7,CA,10
240,20,CT,1
35A,10,KY,4
250,8,KY,2
23D,12,MI,1
13A,18,NH,1
13B,22,NJ,16
13A,13,NV,31
220,18,UT,1
290,19,KY,1
13C,3,ME,2
120,18,NM,1
13A,22,NV,1
26B,8,WA,1
13B,54,MN,1
23H,20,MT,5
11B,20,TN,1
120,18,TX,4
11A,20,KS,1
13B,5,MD,1
13A,21,OK,1
13C,1,PA,2
23H,20,ME,1
200,13,CA,2
220,24,KY,1
290,2,KY,1
220,46,KY,1
13C,20,MN,68
13B,4,WA,3
290,2,WA,2
13A,7,SC,1
13C,5,TN,5
13B,20,LA,3
13C,15,ND,1
290,18,NH,1
13A,5,WA,1
13B,21,FL,1
23H,11,MI,1
36B,22,WV,1
23H,12,LA,1
13B,25,PA,1
13C,4,AZ,7
13C,22,IA,4
23D,20,MT,6
200,4,NC,3
120,13,NV,10
13B,22,OK,2
23D,21,TN,2
13A,21,TN,2
100,11,TN,1
23H,20,TX,4
290,20,WA,117
290,22,ID,2
13B,24,FL,1
220,4,MD,1
13B,25,WV,1
13B,2,CA,1
250,7,OH,1
23H,5,IL,1
13B,54,TX,1
280,53,UT,1
290,4,AZ,37
