41,23H,AZ,2
24,290,CA,35
41,13B,KY,20
24,13B,MA,7
33,120,MN,3
25,290,MT,2
12,23E,TN,1
15,13B,WA,7
41,13A,ME,3
43,220,MI,1
23,290,NY,3
82,290,KY,1
43,23H,FL,1
45,13B,AR,1
15,13C,AZ,3
12,13B,CT,33
32,11D,KY,1
14,290,NY,8
41,220,NY,32
45,23H,OH,2
27,35A,TN,2
41,13A,TN,10
14,290,TX,5
21,290,VA,46
11,520,WV,2
12,13A,IA,6
41,13A,IN,8
12,13C,LA,3
24,13B,NJ,1
22,23H,OR,5
21,220,NV,2
11,100,SD,1
33,220,WA,2
11,26B,WV,1
22,13A,CA,1
11,13B,ID,2
71,13A,MO,1
21,13C,ND,1
11,26B,VA,1
33,120,VA,1
12,290,AZ,88
25,13A,CA,4
42,13C,CT,8
25,290,GA,1
11,26C,KY,2
13,11A,MI,1
33,13A,MT,2
12,13B,OH,72
11,13C,WV,3
41,13C,AL,2
25,200,CA,5
32,13C,DC,1
22,220,NY,6
44,13A,TN,1
42,120,CA,3
32,13A,ID,1
11,23H,KS,5
24,13C,NH,1
24,13B,NM,1
43,13A,IA,1
81,23F,KY,1
12,220,MA,2
33,23H,TX,1
42,13A,OH,2
25,23H,WA,1
32,220,NV,2
15,220,SC,1
13,120,CO,1
43,120,CO,4
41,13C,IL,11
41,220,DC,1
11,100,UT,1
42,13C,IN,1
81,220,KY,5
11,370,MI,1
14,220,NY,3
13,13C,AZ,1
62,11A,IN,1
41,13A,DC,25
43,13B,FL,36
43,13B,MI,26
11,23C,MT,6
41,290,RI,8
42,35A,WV,1
52,13A,AL,1
33,200,CO,1
15,13C,CT,5
12,220,UT,1
32,280,AZ,1
33,13B,KY,3
45,13B,TX,1
33,13C,WI,2
12,220,KS,1
11,23F,MT,3
24,23C,OH,1
11,220,VA,3
32,250,MT,1
13,13C,ND,1
24,35A,UT,1
22,23C,VA,1
33,13A,CO,8
13,35A,KY,1
41,120,MD,2
14,13C,NJ,23
27,23H,OH,2
41,13B,OR,16
12,13C,SC,23
11,240,WA,3
33,220,CA,10
15,13A,CO,3
43,13B,NM,1
23,290,ID,1
23,290,KS,1
31,13C,MA,3
32,120,NC,1
15,290,IA,2
14,13C,AZ,9
22,13C,CT,1
12,13C,GA,43
11,23C,MA,4
11,23H,MI,15
41,290,MI,11
42,13C,MN,5
12,290,UT,15
52,13A,MA,1
21,290,NM,3
11,520,ME,1
26,13A,LA,2
41,13A,NH,1
33,13B,SD,2
32,290,SD,1
24,13C,NM,1
21,290,AZ,60
23,200,FL,1
12,200,MN,2
43,13A,NC,1
11,13B,NC,21
21,290,OH,32
11,23D,TN,6
26,290,VA,8
21,23F,WA,1
13,120,WA,3
33,120,AL,1
41,23F,SC,1
41,26E,CT,1
21,290,IA,1
42,13B,NB,2
13,13A,ND,1
13,120,OH,8
25,200,WA,1
21,200,ID,2
22,35B,WI,1
14,13C,CA,29
33,13A,ID,2
32,13C,ID,6
41,13A,OH,9
32,290,WA,13
13,13B,AR,1
14,13A,ID,1
24,290,KY,7
22,220,NJ,2
51,250,KY,1
42,13A,WA,5
13,220,OK,1
43,23H,TN,2
25,13B,WA,1
24,09A,AK,1
22,23H,AR,1
45,23H,AR,1
42,290,KY,4
26,23H,MN,1
21,13A,NV,3
23,23C,OH,2
13,13A,OH,2
32,11A,TN,1
26,290,UT,2
25,120,CA,2
33,13B,NC,5
15,13C,NC,3
42,290,NC,2
41,13C,RI,1
13,13B,NY,2
22,220,VA,1
21,13A,WA,1
13,26B,CT,1
16,13A,GM,1
71,23D,MA,3
15,26E,WA,2
52,11C,CO,1
15,35B,KY,1
62,370,MA,1
23,26B,WA,1
25,290,AR,1
11,13A,AR,3
41,23H,DC,1
52,13B,KS,1
32,23H,MS,2
26,26A,SC,2
25,290,SC,5
32,290,TN,3
32,120,TN,4
